Question,Setting,Answer
Are you feeling more short of breath than usual today?,Medical,"Yes, slightly more difficult today. It's in God's hands."
Is the BiPAP still comfortable for you to wear?,Medical,It's manageable. The family helps adjust it when needed.
Do you want to use suction to clear your throat?,Medical,"Please, if it's necessary. My daughter can assist."
Are you okay with how often the cough assist is being used?,Medical,The current routine is acceptable. We'll do what's right.
Have you had any recent chest pain or tightness?,Medical,Some tightness this morning. My husband noticed my breathing was shallow.
Are you feeling more confused or foggy lately?,Medical,"My mind is clear, thank God. The body struggles, but thoughts remain sharp."
Do you want to talk to someone about how you're feeling emotionally?,Medical,I manage my feelings with prayer and family. That is sufficient.
Have you been feeling more down or anxious lately?,Medical,"Some worry about the children, but faith helps me through difficult moments."
Would you like us to reduce how many questions we ask during visits?,Medical,Please keep questions necessary only. I tire easily from long conversations.
Do you still feel in control of decisions about your care?,Medical,"Yes, with my family's guidance. We make decisions together respectfully."
Is your feeding schedule working well for you?,Medical,The schedule fits our family routine. My daughters help manage it well.
Have you had any nausea or bloating recently?,Medical,Mild discomfort after yesterday's feeding. Nothing serious.
Do you want more hydration added to your feeding plan?,Medical,If the doctor recommends it. We trust medical guidance.
"Any issues with your PEG site—pain, redness, or leakage?",Medical,My elder daughter checks daily. She would inform you of any problems.
Are you still tolerating your formula without problems?,Medical,"Yes, body accepts it well. We are grateful for this blessing."
Are you feeling any new pain today?,Medical,Lower back aches more than usual. The family helps with positioning.
Is the Baclofen helping with your muscle stiffness?,Medical,It provides some relief. We follow the medication schedule carefully.
Do you need your position adjusted?,Medical,Not immediately. My son will help me adjust in a few minutes.
Have you been too hot or too cold lately?,Medical,Temperature feels comfortable. The family adjusts blankets as needed.
"Any discomfort in your hands, feet, or pressure areas?",Medical,Hands feel stiff in mornings. My daughters massage them gently.
Are the carers helping you at the right times of day?,Medical,"Yes, they work well with our family schedule and respect our customs."
Would you like to be cleaned or repositioned now?,Medical,"After prayers, please. My daughter can assist with privacy maintained."
Any issues with your catheter or bathroom routine?,Medical,Everything functions adequately. Family helps maintain dignity.
Is the eye-tracking device positioned comfortably?,Medical,Position is good. The Hindi-English switching works well for me.
Is the lighting and noise level in your room okay?,Medical,Room is peaceful. Soft lighting during evening prayers is nice.
Do you want to revisit your care plan this month?,Medical,"If needed, with family present. They help me understand options."
Would you like to talk about what you want if your breathing gets worse?,Medical,We discuss this as family with respect for God's will.
Do you still want to avoid hospital admissions if things worsen?,Medical,Prefer home care with family nearby. Hospital if absolutely necessary.
Would you like to review your DNAR order with the team?,Medical,"With my husband and elder son present, please. Important family decision."
Are you still sure about not using invasive ventilation?,Medical,We believe in natural course. Quality time with family matters most.
Do you want to reduce your work hours this week?,Work,I stepped away from work to focus on family time. This is my priority now.
